        182132: (0,0,0) #000000 black
            40: (1,1,1) #010101 srgb(1,1,1)
             9: (2,2,2) #020202 srgb(2,2,2)
            85: (3,3,3) #030303 grey1
             3: (4,4,4) #040404 srgb(4,4,4)
            96: (5,5,5) #050505 grey2
            31: (6,6,6) #060606 srgb(6,6,6)
            58: (7,7,7) #070707 srgb(7,7,7)
            33: (8,8,8) #080808 grey3
             3: (9,9,9) #090909 srgb(9,9,9)
          6460: (10,10,10) #0A0A0A grey4
            68: (11,11,11) #0B0B0B srgb(11,11,11)
             6: (12,12,12) #0C0C0C srgb(12,12,12)
            59: (13,13,13) #0D0D0D grey5
             2: (14,14,14) #0E0E0E srgb(14,14,14)
            17: (15,15,15) #0F0F0F grey6
           223: (16,16,16) #101010 srgb(16,16,16)
            12: (17,17,17) #111111 srgb(17,17,17)
           244: (18,18,18) #121212 grey7
            28: (19,19,19) #131313 srgb(19,19,19)
            65: (20,20,20) #141414 grey8
            17: (21,21,21) #151515 srgb(21,21,21)
           189: (22,22,22) #161616 srgb(22,22,22)
             7: (23,23,23) #171717 grey9
            33: (24,24,24) #181818 srgb(24,24,24)
            20: (25,25,25) #191919 srgb(25,25,25)
            27: (26,26,26) #1A1A1A grey10
        108483: (27,27,27) #1B1B1B srgb(27,27,27)
           123: (28,28,28) #1C1C1C grey11
            42: (29,29,29) #1D1D1D srgb(29,29,29)
           256: (30,30,30) #1E1E1E srgb(30,30,30)
            99: (31,31,31) #1F1F1F grey12
            44: (32,32,32) #202020 srgb(32,32,32)
            87: (33,33,33) #212121 grey13
         50420: (34,34,34) #222222 srgb(34,34,34)
            39: (35,35,35) #232323 srgb(35,35,35)
            65: (36,36,36) #242424 grey14
          1260: (37,37,37) #252525 srgb(37,37,37)
            44: (38,38,38) #262626 grey15
            43: (39,39,39) #272727 srgb(39,39,39)
           118: (40,40,40) #282828 srgb(40,40,40)
            43: (41,41,41) #292929 grey16
           157: (42,42,42) #2A2A2A srgb(42,42,42)
            43: (43,43,43) #2B2B2B grey17
            70: (44,44,44) #2C2C2C srgb(44,44,44)
            44: (45,45,45) #2D2D2D srgb(45,45,45)
           136: (46,46,46) #2E2E2E grey18
            18: (47,47,47) #2F2F2F srgb(47,47,47)
            42: (48,48,48) #303030 grey19
            82: (49,49,49) #313131 srgb(49,49,49)
            58: (50,50,50) #323232 srgb(50,50,50)
           134: (51,51,51) #333333 grey20
            21: (52,52,52) #343434 srgb(52,52,52)
            32: (53,53,53) #353535 srgb(53,53,53)
            96: (54,54,54) #363636 grey21
          4053: (55,55,55) #373737 srgb(55,55,55)
         29792: (55,126,184) #377EB8 srgb(55,126,184)
           140: (56,56,56) #383838 grey22
            34: (57,57,57) #393939 srgb(57,57,57)
            62: (58,58,58) #3A3A3A srgb(58,58,58)
             9: (59,59,59) #3B3B3B grey23
          2057: (60,60,60) #3C3C3C srgb(60,60,60)
           130: (61,61,61) #3D3D3D grey24
            76: (62,62,62) #3E3E3E srgb(62,62,62)
            48: (63,63,63) #3F3F3F srgb(63,63,63)
           112: (64,64,64) #404040 grey25
            43: (65,65,65) #414141 srgb(65,65,65)
            38: (66,66,66) #424242 grey26
             7: (67,67,67) #434343 srgb(67,67,67)
            10: (68,68,68) #444444 srgb(68,68,68)
            13: (69,69,69) #454545 grey27
           120: (70,70,70) #464646 srgb(70,70,70)
           225: (71,71,71) #474747 grey28
            76: (72,72,72) #484848 srgb(72,72,72)
            73: (73,73,73) #494949 srgb(73,73,73)
            43: (74,74,74) #4A4A4A grey29
         29792: (75,0,130) #4B0082 indigo
            38: (75,75,75) #4B4B4B srgb(75,75,75)
             5: (76,76,76) #4C4C4C srgb(76,76,76)
            36: (77,77,77) #4D4D4D grey30
         29260: (77,175,74) #4DAF4A srgb(77,175,74)
            38: (78,78,78) #4E4E4E srgb(78,78,78)
            33: (79,79,79) #4F4F4F grey31
           133: (80,80,80) #505050 srgb(80,80,80)
            22: (81,81,81) #515151 srgb(81,81,81)
           105: (82,82,82) #525252 grey32
             3: (83,83,83) #535353 srgb(83,83,83)
           101: (84,84,84) #545454 grey33
            20: (85,85,85) #555555 srgb(85,85,85)
            47: (86,86,86) #565656 srgb(86,86,86)
            32: (87,87,87) #575757 grey34
            56: (88,88,88) #585858 srgb(88,88,88)
            76: (89,89,89) #595959 grey35
            33: (90,90,90) #5A5A5A srgb(90,90,90)
            22: (91,91,91) #5B5B5B srgb(91,91,91)
            83: (92,92,92) #5C5C5C grey36
            11: (93,93,93) #5D5D5D srgb(93,93,93)
           115: (94,94,94) #5E5E5E grey37
             4: (95,95,95) #5F5F5F srgb(95,95,95)
            97: (96,96,96) #606060 srgb(96,96,96)
            61: (97,97,97) #616161 grey38
            77: (98,98,98) #626262 srgb(98,98,98)
            67: (99,99,99) #636363 grey39
            74: (100,100,100) #646464 srgb(100,100,100)
            56: (101,101,101) #656565 srgb(101,101,101)
            51: (102,102,102) #666666 grey40
            55: (103,103,103) #676767 srgb(103,103,103)
           113: (104,104,104) #686868 srgb(104,104,104)
            70: (105,105,105) #696969 DimGray
            75: (106,106,106) #6A6A6A srgb(106,106,106)
            26: (107,107,107) #6B6B6B grey42
            64: (108,108,108) #6C6C6C srgb(108,108,108)
            50: (109,109,109) #6D6D6D srgb(109,109,109)
            46: (110,110,110) #6E6E6E grey43
            47: (111,111,111) #6F6F6F srgb(111,111,111)
            98: (112,112,112) #707070 grey44
           124: (113,113,113) #717171 srgb(113,113,113)
            60: (114,114,114) #727272 srgb(114,114,114)
           133: (115,115,115) #737373 grey45
            77: (116,116,116) #747474 srgb(116,116,116)
            17: (117,117,117) #757575 grey46
            72: (118,118,118) #767676 srgb(118,118,118)
           168: (119,119,119) #777777 srgb(119,119,119)
            49: (120,120,120) #787878 grey47
            48: (121,121,121) #797979 srgb(121,121,121)
           160: (122,122,122) #7A7A7A grey48
            48: (123,123,123) #7B7B7B srgb(123,123,123)
            45: (124,124,124) #7C7C7C srgb(124,124,124)
            79: (125,125,125) #7D7D7D grey49
            70: (126,126,126) #7E7E7E gray
           124: (127,127,127) #7F7F7F grey50
         29305: (128,128,128) #808080 fractal
            74: (129,129,129) #818181 srgb(129,129,129)
            50: (130,130,130) #828282 grey51
            27: (131,131,131) #838383 srgb(131,131,131)
            35: (132,132,132) #848484 srgb(132,132,132)
           364: (133,133,133) #858585 grey52
             9: (134,134,134) #868686 srgb(134,134,134)
           123: (135,135,135) #878787 grey53
            11: (136,136,136) #888888 srgb(136,136,136)
            24: (137,137,137) #898989 srgb(137,137,137)
            44: (138,138,138) #8A8A8A grey54
            70: (139,139,139) #8B8B8B srgb(139,139,139)
            14: (140,140,140) #8C8C8C grey55
            39: (141,141,141) #8D8D8D srgb(141,141,141)
           173: (142,142,142) #8E8E8E srgb(142,142,142)
           116: (143,143,143) #8F8F8F grey56
           120: (144,144,144) #909090 srgb(144,144,144)
             8: (145,145,145) #919191 grey57
           143: (146,146,146) #929292 srgb(146,146,146)
            62: (147,147,147) #939393 srgb(147,147,147)
         29792: (148,0,211) #9400D3 DarkViolet
            69: (148,148,148) #949494 grey58
           168: (149,149,149) #959595 srgb(149,149,149)
            35: (150,150,150) #969696 grey59
             3: (151,151,151) #979797 srgb(151,151,151)
            43: (152,152,152) #989898 srgb(152,152,152)
            65: (153,153,153) #999999 grey60
            66: (154,154,154) #9A9A9A srgb(154,154,154)
            63: (155,155,155) #9B9B9B srgb(155,155,155)
            49: (156,156,156) #9C9C9C grey61
            53: (157,157,157) #9D9D9D srgb(157,157,157)
            28: (158,158,158) #9E9E9E grey62
            68: (159,159,159) #9F9F9F srgb(159,159,159)
             4: (160,160,160) #A0A0A0 srgb(160,160,160)
            77: (161,161,161) #A1A1A1 grey63
            23: (162,162,162) #A2A2A2 srgb(162,162,162)
            18: (163,163,163) #A3A3A3 grey64
           344: (164,164,164) #A4A4A4 srgb(164,164,164)
            41: (165,165,165) #A5A5A5 srgb(165,165,165)
            56: (166,166,166) #A6A6A6 grey65
            37: (167,167,167) #A7A7A7 srgb(167,167,167)
           267: (168,168,168) #A8A8A8 grey66
            40: (169,169,169) #A9A9A9 DarkGray
            32: (170,170,170) #AAAAAA srgb(170,170,170)
           254: (171,171,171) #ABABAB grey67
            21: (172,172,172) #ACACAC srgb(172,172,172)
            70: (173,173,173) #ADADAD grey68
             3: (174,174,174) #AEAEAE srgb(174,174,174)
            87: (175,175,175) #AFAFAF srgb(175,175,175)
            39: (176,176,176) #B0B0B0 grey69
           120: (177,177,177) #B1B1B1 srgb(177,177,177)
            94: (178,178,178) #B2B2B2 srgb(178,178,178)
             3: (179,179,179) #B3B3B3 grey70
             7: (180,180,180) #B4B4B4 srgb(180,180,180)
           109: (181,181,181) #B5B5B5 grey71
            31: (182,182,182) #B6B6B6 srgb(182,182,182)
            63: (183,183,183) #B7B7B7 srgb(183,183,183)
             6: (184,184,184) #B8B8B8 grey72
             8: (185,185,185) #B9B9B9 srgb(185,185,185)
            48: (186,186,186) #BABABA grey73
